Serial No,Category,Name,Specification,Link
1,Office Furniture,Da URBAN® Merlion Office Chair,"High Back Mesh Ergonomic Home Office Desk Chair with 3 Years Warranty, Adjustable Armrests,Adjustable Lumbar Support,Tilt Lock Mechanism (Grey)",https://www.amazon.in/Ergonomic-Warranty-Adjustable-Armrests-Mechanism/dp/B0BZPJQ2X2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-5
2,Office Furniture,Woodenwave Woodenwawe Multi-Purpose Side Table," Coffee Table, End Table, Computer Office With 3 Tier Printer Stand, Desk Organizer Shelves, Table Top Color-White, Size-55X35X74Cm(Ww-4P)",https://www.amazon.in/WOODENWAWE-Multi-Purpose-Color-White-Size-55x35x74CM-WW-4P/dp/B0CFGDNPX9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-6
3,Office Furniture,Furniture Cafe Set top Box Stand WiFi Router Holder Wooden Wall Shelves for Home Wall Mount Stylish TV Cabinet Living Room Furniture (Color-Walnut Brown),,https://www.amazon.in/Furniture-Cafe-Shelves-Stylish-Color-Walnut/dp/B0925QP1J6/ref=sr_1_7?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-7
4,Office Furniture,Klaxon L Shaped Study Table for Students and Adults/Computer Table for Home-Office/Gaming Table/Computer Desk for Corner - Wood & Metal (Classic-Forest Dark & Black, DIY Installation),https://aax-eu.amazon.in/x/c/JFjMHzLZC0HvNz3av3V_vvoAAAGRiBhcjwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBgoRit/https://www.amazon.in/Klaxon-Shaped-Students-Computer-Home-Office/dp/B0CLH88899/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.3be3fb3e-0f2b-4eeb-88e5-5121210c18da%3Aamzn1.sym.3be3fb3e-0f2b-4eeb-88e5-5121210c18da&cv_ct_cx=Office+Furniture&dib=eyJ2IjoiMSJ9.CIp2L3oetRIX1IuWrEzuTA.sFeDxAcCVB0LpjHTCnG18QtiKxKPGdbh6tdsNbusNeE&dib_tag=se&keywords=Office+Furniture&pd_rd_i=B0CLH88899&pd_rd_r=054a7a98-6c04-4d29-b20e-1439031d16a8&pd_rd_w=yWTYX&pd_rd_wg=ZDq4R&pf_rd_p=3be3fb3e-0f2b-4eeb-88e5-5121210c18da&pf_rd_r=D4RGY835ZRNYCD85PHYD&qid=1724565183&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-7c8005b1-48c1-4d2f-8d94-83bdc3b16b8a
5,Office Furniture,CELLBELL Desire C104 Mesh Mid Back Ergonomic Office Chair/Study Chair/Revolving Chair/Computer Chair for Work from Home Metal Base Seat Height Adjustable Chair (Black),,https://www.amazon.in/CELLBELL-Mid-Back-Ergonomic-Revolving-Adjustable/dp/B08XBGZ4R6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-8
6,Office Furniture,Furniture Cafe® Wooden Wall Shelves for Living Room | for Home Decor Items | Floating Book Rack for Study Room," Office, Kitchen 3Tiers | Size- Standard | Colour- Brown",https://www.amazon.in/Furniture-Cafe-Decor-Display-Shelves/dp/B07KTRQ34Y/ref=sr_1_9?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-9
7,Office Furniture,Lukzer 6 Layer Engineered Wood Bookshelf Multipurpose Home Decor Storage Rack Showcase Organizer for Living room," Kitchen, Bedroom, Office (MR-005/White /180 x 33 x 24cm) DIY (Do It Yourself)",https://www.amazon.in/Lukzer-Engineered-Bookshelf-Multipurpose-Organizer/dp/B0BPS536WC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-10
8,Office Furniture,Tekavo Executive Table For Office | L Shaped Director Desk | Manager Cabin Desk With Storage | 180 Cm/Diy - Engineered Wood," Polished, Black",https://www.amazon.in/Tekavo-Executive-Director-Manager-Storage/dp/B0CP61GQWC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-11
9,Office Furniture,ASTRIDE Ace Mid Back Office Chair for Work from Home/Study Chair Height Adjustable Revolving Chair with Tilt Lock [Heavy Duty Nylon Base, Grey],https://www.amazon.in/ASTRIDE%C2%AE-Back-Office-Chair-Study/dp/B0BQ3J34PZ/ref=sr_1_12?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-12
10,Office Furniture,PRIVILON GLOBAL Private Limited Office Table for Home/Writing Desk for Office/Folding Table for School/Folding Study Table/Work from Home Multipurpose Table (us Biding Flower),,https://www.amazon.in/PRIVILON-GLOBAL-Private-Limited-Multipurpose/dp/B0D54DKD1T/ref=sr_1_13?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-13
